23,,,,,,,,,,,,,,,,,,,,,,
40,83,43,385,365,71,74,11,12,3,4,60,11,60,30,38,187,38,187,46,97,100,74
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
5,,,,,,,,,,,,,,,,,,,,,,
386,289,118,387,100,,,,,,,,,,,,,,,,,,
1,1,0,1,1,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,
388,389,123,165,132,38,390,365,47,362,55,246,348,287,324,,,,,,,,
0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
391,371,314,30,90,37,31,,,,,,,,,,,,,,,,
1,1,0,0,1,0,1,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
392,393,102,100,179,,,,,,,,,,,,,,,,,,
1,0,1,0,0,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
394,371,173,100,41,,,,,,,,,,,,,,,,,,
0,0,0,1,0,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,
366,395,121,22,81,19,46,262,242,,,,,,,,,,,,,,
0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
396,198,168,22,37,,,,,,,,,,,,,,,,,,
1,0,1,1,0,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
197,397,160,30,74,103,,,,,,,,,,,,,,,,,
1,1,1,1,0,0,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,
64,289,123,2,60,27,200,244,36,,,,,,,,,,,,,,
1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,
398,397,123,2,76,66,399,192,37,,,,,,,,,,,,,,
1,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,
400,401,286,122,165,132,27,402,403,281,25,223,203,155,304,324,295,404,208,,,,
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,,,,
7,,,,,,,,,,,,,,,,,,,,,,
405,345,375,173,406,30,98,,,,,,,,,,,,,,,,
1,1,0,1,0,0,0,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
407,236,314,346,100,74,,,,,,,,,,,,,,,,,
1,1,0,1,1,0,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,
408,308,177,2,179,4,191,537,,,,,,,,,,,,,,,
1,1,0,1,0,1,1,1,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
405,163,177,30,60,19,,,,,,,,,,,,,,,,,
1,0,1,0,0,1,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
409,236,173,165,185,3,11,4,280,244,7,,,,,,,,,,,,
1,0,1,0,1,1,0,0,1,1,1,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
410,411,412,121,30,74,54,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
393,135,90,100,81,,,,,,,,,,,,,,,,,,
1,1,1,0,1,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,
353,289,235,2,187,38,73,259,130,32,8,9,26,304,210,,,,,,,,
1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
413,414,121,165,31,74,103,130,245,415,203,150,,,,,,,,,,,
0,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,
416,178,85,170,41,80,,,,,,,,,,,,,,,,,
1,1,1,1,1,0,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,
417,418,276,346,30,74,19,419,86,13,358,322,228,420,421,334,,,,,,,
1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,
422,308,177,30,41,,,,,,,,,,,,,,,,,,
1,0,1,0,0,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
5,423,308,316,247,22,179,43,52,8,133,325,,,,,,,,,,,
0,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
200,424,393,135,22,81,66,181,202,9,297,,,,,,,,,,,,
0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
425,417,345,314,165,132,88,13,182,55,,,,,,,,,,,,,
1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,
262,409,308,122,165,41,46,48,202,148,265,426,266,477,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
427,64,371,121,30,87,46,79,428,9,429,302,,,,,,,,,,,
1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
280,430,395,271,40,132,46,320,182,9,14,213,,,,,,,,,,,
1,0,0,0,1,1,1,1,0,1,1,0,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
431,391,289,292,2,72,73,52,202,55,142,,,,,,,,,,,,
1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
432,409,289,18,165,81,124,13,223,9,,,,,,,,,,,,,
0,0,0,1,1,1,0,1,1,0,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,
200,433,374,235,220,40,76,27,245,415,9,246,229,,,,,,,,,,
0,1,1,1,1,1,1,1,0,0,1,0,1,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
434,435,289,168,2,97,4,13,9,218,,,,,,,,,,,,,
0,1,1,1,0,1,0,1,1,0,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,
280,430,279,352,173,346,100,125,103,79,182,55,26,518,,,,,,,,,
1,1,1,0,1,0,1,1,1,1,0,1,1,1,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,
390,388,401,252,165,74,38,436,47,202,203,246,338,,,,,,,,,,
1,1,0,1,1,1,1,0,1,0,1,1,1,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,
221,437,371,123,165,97,73,13,428,9,209,,,,,,,,,,,,
1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,
438,436,439,345,85,165,90,,,,,,,,,,,,,,,,
1,0,0,0,1,0,1,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,
388,418,234,283,170,87,46,245,428,63,26,303,,,,,,,,,,,
0,1,1,1,1,1,1,0,1,1,1,0,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,
