"UserID","CurrentQue","CurrentRes","NextQue","NextRes"
81944,92353,0,92341,0
81944,92341,0,92337,0
81944,92337,0,92340,1
81944,92340,1,92326,0
81944,92326,0,92336,0
81944,92336,0,92327,0
81944,92327,0,84880,1
81944,84880,1,84831,0
81944,84831,0,84959,0
81944,84959,0,84931,0
81944,84931,0,84781,1
81944,84781,1,84916,1
81944,84916,1,84788,1
81944,84788,1,85819,1
81944,85819,1,85859,1
81944,85859,1,85889,1
81944,85889,1,86068,1
81944,86068,1,85963,0
81944,85963,0,85947,0
81944,85947,0,86054,0
81944,86054,0,86066,1
81944,86066,1,85942,1
81944,85942,1,85898,1
81944,85898,1,61105,0
81944,61105,0,61092,0
81944,61092,0,61090,0
81944,61090,0,61115,0
81944,61115,0,61117,1
81944,61117,1,61095,0
81944,61095,0,61110,1
81944,61110,1,61103,1
81944,61103,1,61113,1
81944,61113,1,71367,1
81944,71367,1,71345,1
81944,71345,1,71355,1
81944,71355,1,94881,0
81944,94881,0,92353,0
81944,92353,0,92341,0
81944,92341,0,92337,0
81944,92337,0,92340,1
81944,92340,1,94900,1
81944,94900,1,94891,1
81944,94891,1,94877,1
81944,94877,1,94894,0
81944,94894,0,94865,0
81944,94865,0,92326,0
81944,92326,0,94890,0
81944,94890,0,92336,0
81944,92336,0,92327,0
81944,92327,0,108963,0
81944,108963,0,108957,0
81944,108957,0,109005,0
81944,109005,0,108945,0
81944,108945,0,108903,0
81944,108903,0,108972,1
81944,108972,1,108933,1
81944,108933,1,108981,1
81944,108981,1,84667,0
81944,84667,0,85248,0
81944,85248,0,84677,0
81944,84677,0,91673,0
81944,91673,0,84666,1
81944,84666,1,84678,0
81944,84678,0,84669,0
81944,84669,0,85055,1
81944,85055,1,85057,0
81944,85057,0,85018,0
81944,85018,0,84674,1
81944,84674,1,91670,0
81944,91670,0,85010,0
81944,85010,0,91668,1
81944,91668,1,91671,0
81944,91671,0,84659,0
81944,84659,0,84672,1
81944,84672,1,85015,1
81944,85015,1,84673,1
81944,84673,1,108965,1
81944,108965,1,108959,1
81944,108959,1,109006,1
81944,109006,1,108947,1
81944,108947,1,108905,1
81947,92320,0,92355,0
81947,92355,0,84831,1
81947,84831,1,84943,1
81947,84943,1,84920,0
81947,84920,0,84886,1
81947,84886,1,84925,1
81947,84925,1,84837,1
81947,84837,1,85857,1
81947,85857,1,85872,1
81947,85872,1,85865,1
81947,85865,1,85966,0
81947,85966,0,61098,1
81947,61098,1,86066,0
81947,86066,0,86047,0
81947,86047,0,85941,0
81947,85941,0,61116,0
81947,61116,0,61114,0
81947,61114,0,61108,0
81947,61108,0,61106,0
81947,61106,0,61103,0
81947,61103,0,85957,0
81947,85957,0,85910,0
81947,85910,0,85965,0
81947,85965,0,85927,1
81947,85927,1,86069,1
81947,86069,1,86077,1
81947,86077,1,85908,1
81947,85908,1,85975,1
81947,85975,1,61115,0
81947,61115,0,61096,0
81947,61096,0,61104,0
81947,61104,0,61097,1
81947,61097,1,61092,0
81947,61092,0,61093,1
81947,61093,1,61107,0
81947,61107,0,61110,0
81947,61110,0,61112,1
81947,61112,1,61109,0
81947,61109,0,61095,0
81947,61095,0,61113,1
81947,61113,1,61090,0
81947,61090,0,92320,0
81947,92320,0,92355,0
81947,92355,0,84662,0
81983,92353,0,92330,0
81983,92330,0,84917,1
81983,84917,1,84943,1
81983,84943,1,84970,0
81983,84970,0,84945,1
81983,84945,1,84886,1
81983,84886,1,84942,1
81983,84942,1,84925,1
81983,84925,1,84952,1
81983,84952,1,85966,0
81983,85966,0,85948,0
81983,85948,0,85974,0
81983,85974,0,86054,1
81983,86054,1,85941,1
81983,85941,1,85955,0
81983,85955,0,85934,0
81983,85934,0,86050,0
81983,86050,0,85904,0
81983,85904,0,86070,1
81983,86070,1,85928,0
81983,85928,0,71363,0
81983,71363,0,71346,0
81983,71346,0,71343,0
81983,71343,0,71345,0
81983,71345,0,71356,0
81983,71356,0,71368,0
81983,71368,0,71354,0
81983,71354,0,71361,0
81983,71361,0,92353,0
81983,92353,0,92330,0
81983,92330,0,94866,0
81983,94866,0,94882,0
81983,94882,0,71360,0
81983,71360,0,84663,0
81983,84663,0,85057,0
81983,85057,0,108945,0
81983,108945,0,108936,0
81983,108936,0,108996,0
81983,108996,0,108951,0
81983,108951,0,108909,0
81983,108909,0,108915,0
81983,108915,0,108939,0
81983,108939,0,108921,0
81983,108921,0,108912,0
81983,108912,0,108933,0
81983,108933,0,108946,1
81983,108946,1,108938,1
81983,108938,1,108998,1
81983,108998,1,108953,1
81983,108953,1,108911,1
81983,108911,1,108916,1
81983,108916,1,108941,1
81983,108941,1,108922,1
81983,108922,1,108913,1
81983,108913,1,108935,1
82037,92341,1,92339,1
82037,92339,1,92350,1
82037,92350,1,92351,1
82037,92351,1,92325,1
82037,92325,1,92347,1
82037,92347,1,92321,1
82037,92321,1,92343,1
82037,92343,1,92355,0
82037,92355,0,92345,0
82037,92345,0,92335,0
82037,92335,0,84929,1
82037,84929,1,84962,1
82037,84962,1,84743,1
82037,84743,1,85797,1
82037,85797,1,85888,1
82037,85888,1,85796,1
82037,85796,1,85963,0
82037,85963,0,86066,1
82037,86066,1,85971,1
82037,85971,1,86064,1
82037,86064,1,85959,1
82037,85959,1,85957,1
82037,85957,1,61094,0
82037,61094,0,61099,1
82037,61099,1,61108,1
82037,61108,1,61116,1
82037,61116,1,61097,1
82037,61097,1,61109,1
82037,61109,1,71343,1
82037,71343,1,71368,1
82037,71368,1,71347,1
82037,71347,1,94877,1
82037,94877,1,92341,1
82037,92341,1,92339,1
82037,92339,1,94891,0
82037,94891,0,92350,1
82037,92350,1,94868,0
82037,94868,0,92351,1
82037,92351,1,92325,1
82037,92325,1,94878,1
82037,94878,1,94882,0
82037,94882,0,92347,1
82037,92347,1,92321,1
82037,92321,1,94900,1
82037,94900,1,92343,1
82037,92343,1,92355,0
82037,92355,0,94893,0
82037,94893,0,94866,0
82037,94866,0,92345,0
82037,92345,0,94888,0
82037,94888,0,94901,0
82037,94901,0,94881,0
82037,94881,0,92335,0
82037,92335,0,108930,1
82037,108930,1,108906,1
82037,108906,1,108933,1
82037,108933,1,84666,1
82037,84666,1,85214,0
82037,85214,0,84675,0
82037,84675,0,84671,1
82037,84671,1,85243,1
82037,85243,1,85218,1
82037,85218,1,85052,0
82037,85052,0,85053,0
82037,85053,0,85011,1
82037,85011,1,84659,0
82079,92317,0,84913,1
82079,84913,1,84968,1
82079,84968,1,84834,1
82079,84834,1,85796,1
82079,85796,1,85879,0
82079,85879,0,85846,0
82079,85846,0,85884,1
82079,85884,1,85859,1
82079,85859,1,85838,1
82079,85838,1,86070,0
82079,86070,0,85973,1
82079,85973,1,85947,0
82079,85947,0,85906,0
82079,85906,0,86061,0
82079,86061,0,86078,0
82079,86078,0,85932,1
82079,85932,1,85901,1
82079,85901,1,85930,0
82079,85930,0,61101,1
82079,61101,1,61096,1
82079,61096,1,61111,0
82079,61111,0,61105,0
82079,61105,0,61089,1
82079,61089,1,61102,1
82079,61102,1,61115,0
82079,61115,0,61104,1
82079,61104,1,61100,0
82079,61100,0,61095,0
82079,61095,0,85927,1
82079,85927,1,86067,1
82079,86067,1,61098,0
82079,61098,0,94902,0
82079,94902,0,71357,1
82079,71357,1,71342,1
82079,71342,1,71352,1
82079,71352,1,94885,0
82079,94885,0,92317,0
82079,92317,0,108999,0
82079,108999,0,108981,0
82079,108981,0,84659,0
82079,84659,0,84673,0
82079,84673,0,84664,1
82079,84664,1,85243,0
82079,85243,0,109001,1
82079,109001,1,108982,1
82093,92340,0,92350,1
82093,92350,1,92334,1
82093,92334,1,92343,1
82093,92343,1,92346,1
82093,92346,1,92324,1
82093,92324,1,92338,1
82093,92338,1,84946,1
82093,84946,1,84969,1
82093,84969,1,84933,1
82093,84933,1,85871,1
82093,85871,1,85798,1
82093,85798,1,85815,1
82093,85815,1,85961,1
82093,85961,1,86076,0
82093,86076,0,85975,1
82093,85975,1,86073,0
82093,86073,0,86066,0
82093,86066,0,85907,0
82093,85907,0,85959,1
82093,85959,1,86065,1
82093,86065,1,86048,0
82093,86048,0,85949,1
82093,85949,1,61101,0
82093,61101,0,61094,0
82093,61094,0,61113,1
82093,61113,1,61089,1
82093,61089,1,61116,0
82093,61116,0,61111,0
82093,61111,0,61096,1
82093,61096,1,61109,0
82093,61109,0,61118,0
82093,61118,0,61110,0
82093,61110,0,86072,1
82093,86072,1,85926,1
82093,85926,1,85908,1
82093,85908,1,85940,0
82093,85940,0,85930,1
82093,85930,1,85970,0
82093,85970,0,85952,1
82093,85952,1,85899,0
82093,85899,0,86050,1
82093,86050,1,85942,0
82093,85942,0,86045,1
82093,86045,1,61115,0
82093,61115,0,61100,0
82093,61100,0,61103,0
82093,61103,0,61108,0
82093,61108,0,61104,0
82093,61104,0,61098,0
82093,61098,0,61093,1
82093,61093,1,61099,0
82093,61099,0,61095,0
82093,61095,0,61090,0
82093,61090,0,61102,1
82093,61102,1,85894,1
82093,85894,1,85971,1
82093,85971,1,86068,0
82093,86068,0,86067,1
82093,86067,1,85904,0
82093,85904,0,85931,1
82093,85931,1,85944,1
82093,85944,1,85895,1
82093,85895,1,86063,1
82093,86063,1,85932,0
82093,85932,0,85948,1
82093,85948,1,85951,1
82093,85951,1,85955,1
82093,85955,1,86070,1
82093,86070,1,85927,1
82093,85927,1,94873,0
82093,94873,0,71349,0
82093,71349,0,92340,0
82093,92340,0,71340,1
82093,71340,1,71368,1
82093,71368,1,71366,1
82093,71366,1,71362,1
82093,71362,1,71361,1
82093,71361,1,92350,1
82093,92350,1,92334,1
82093,92334,1,92343,1
82093,92343,1,92346,1
82093,92346,1,94877,0
82093,94877,0,92324,1
82093,92324,1,94872,0
82093,94872,0,94869,0
82093,94869,0,94901,0
82093,94901,0,92338,1
82093,92338,1,108906,0
82093,108906,0,108996,0
82093,108996,0,109002,0
82093,109002,0,108954,0
82093,108954,0,108915,0
82093,108915,0,85061,0
82093,85061,0,85218,1
82093,85218,1,84678,0
82093,84678,0,85241,1
82093,85241,1,85053,0
82093,85053,0,108908,1
82093,108908,1,108998,1
82093,108998,1,109004,1
82093,109004,1,108955,1
82093,108955,1,108917,1
82095,92323,0,84935,0
82095,84935,0,84836,1
82095,84836,1,84959,1
82095,84959,1,84721,1
82095,84721,1,85866,1
82095,85866,1,85837,1
82095,85837,1,85892,1
82095,85892,1,85955,0
82095,85955,0,85971,1
82095,85971,1,85947,0
82095,85947,0,85932,0
82095,85932,0,85896,1
82095,85896,1,85952,0
82095,85952,0,86048,0
82095,86048,0,85933,0
82095,85933,0,86065,0
82095,86065,0,85937,1
82095,85937,1,61116,0
